opinion,user_description,review
Opinión sobre BBVA,tengo SMS con la confirmacion de retorno de una compra con Visa despues de esperar mucho tiempo.  ahora mas tiempo para ver el dinero . MAL SERVECIO Y MAL TRATO,1.0
Opinión sobre BBVA,Hace ya 1 mes le sacaron 660 soles a mi mama ella contacto a este banco **** para quejarse y le dijeron que no podian hacer nada al respecto pero para cobrar estos **** son buenos.,2.0
Opinión sobre BBVA,"Al BBVA le doy un 0 porque son unos **** a las personas, nos toman el pelo, la atención es mala, malísima tanto en oficinas como por teléfono, todo son largas, demoras, retardan todos los trámites sólo con la intención de disponer de nuestro dinero mientras ellos juegan con el... depositen su dinero en cualquier otro Banco, las comisiones aquí son abusivas por cualquier trámite y asesoras mal al cliente, sólo miran por sus intereses... cuidado con BBVA",1.0
Opinión sobre BBVA,"El más lento que he visto, a parte de trabajar solo hasta las 11 con ventanillas tardan 1h en atender a 5 personas, teniendo 4 cajas perfectamente distanciadas abren 2 y con suerte, de normal hay una sola, llevo 1h y media esperando para cobrar un mísero cheque. Fatal.",1.0
Opinión sobre Tarjeta Después,"Incomprensiblemente y teniendo una respuesta importante pendiente no consigo contactar con nadie, los teléfonos no contestan ninguno, las consultas por mensajes y la cita previa tampoco. ¿Han perdido el juicio? Si esto es lo que entienden por ""servicio"" hay que ir pensando una alternativa.",5.0
Opinión sobre Cuenta Online Sin Comisiones,"Estoy hasta las **** de que en las oficinas solo tengan las cajas hasta las 11,00 horas y muchas oficinas la caja no esta operativa.",1.0
Opinión sobre Cuenta Online Sin Comisiones,"Un banco horrible y lo digo con educación, he sacado todo mi dinero ya que se negaron a ingresarme un cheque del mismo banco a mi cuenta del mismo banco, me trataron con desprecio y me hacían ir a otra oficina que estaba cerrada por el tema del Covid, algo que tampoco entiendo. Al día siguiente fui a otra sucursal y me dijeron que la persona que se negó a ingresarme el cheque no hizo bien su trabajo, incluido el director de la sucursal.",1.0
Opinión sobre Depósito Online 13 meses,"LLevo un año. Todo genialel primer año. Ahora me cobran comisiones, no me atienden ni en la oficina ni por tef y el gestor online no contesta a los mensajes. En estos meses a parte de dinero me hacen perder mucho tiempo. Horrible , no lo recomiendo aunque por lo que me cuentas otras compañeras la banca en general está así de mal para clientes y empleados",1.0
Opinión sobre Tarjeta VISA Repsol,vale la pena por como es la app del banco y que abrirla y todoesos pasos es muy facil mucho mejor que la app del caixa,3.0
Opinión sobre Tarjeta VISA Repsol,"llevamos 50años en bbva,la cuenta online 1asco,no se ve movimientos diarios en movil,nos robaron 1dinero x la libreta,no la teníamos,si la online,la reclamamos nos hicieron otra vez libreta.1operario dl bbva me dijo k nos podíamos ir dl banco.15/7/20 vamos,la chica k nos atiende se enrolla,no nos da fecha cuando se compraron acciones pa hacer el traspaso d 1banco a otro,alegando k iba a llevar meses, no keria currar.con otros bancos chapeau.",5.0
Opinión sobre Oficina 0464 en Torre De Mar,"Al hacer la solicitud me marearon durante más de 1 hora .Me han cobrado una comisión ( que no comprendo) y no consigo contactar con nadie, en la oficina solo me dicen que debo de reclamarlo por internet.",3.0
Opinión sobre BBVA,"Los grandes bancos ya no dan rentabilidad. Es mejor recurrir a otras alternativas, porque los están quitando todos. ¿Solo WiZink ofrece buenos depósitos o cómo va la cosa en este país?",1.0
Opinión sobre BBVA,ay alguna manera de quitar la anualida sin gasta los 500 litros?? porque no reposto tanto en repsol..tambien uso otras gasolineras y que me cobren 40 euros es que pierdo dinero los descuentos no me salen a tanto,1.0
Opinión sobre BBVA,"me gusta , la uso solo para la gasolinera porque al fina apra tarjeta de credito ya tengo otras mejores pero para la gasolina va bien",1.0
Opinión sobre Oficina 1928 en Madrid,Un desastre este banco nadie coge el teléfono! Un servicio pésimo siempre hacen lo mismo y nadie se queja!?,1.0
Opinión sobre BBVA,"El peor banco. Los teléfonos no funcionan. El de atención al público no solucionan nada. Ni pueden hacer nada, ni saben nada. Concertar una cita con un director de sucursal en Málaga es misión imposible, sobre todo cuando dices que quieres recatar un fondo de pensiones. Peor, imposible.",5.0
Opinión sobre BBVA,El peor banco. Trato: 0. Ayuda al usuario: 0. Todo son trabas. Nada recomendable.,1.0
Opinión sobre Tarjeta Antes,"El peor banco que he conocido. Llevo semanas para rescatar un fondo de pensiones de funcionarios que el gobierno de Aznar nos obligo a tener con este banco. Solo puede hacerlo con el/la director/a de la sucursal. Nunca están. la respuesta cuando le dices el motivo: ""Está de vacaciones, de baja, de maternidad, reunido, ha salido y no volverá"". No cogen los teléfonos. En atención al público peor todavía. No dan información ni facilitan información para solucionar el problema. Es el peor banco.",1.0
Opinión sobre BBVA,"Ten cuidado, porque a la que te descuidas te hacen cobros indebidos. Pocas ganas de trabajar y trato deplorable.",1.0
Opinión sobre Cuenta Online Sin Comisiones,"Lo primero... Solo hay que leerse las condiciones del contrato, ya que que firmamos con los ojos cerrados. Pordavor los que dicen que son comisiones abusivas... Mirar el contrato que tienen firmado, y si dicen que en oficina os mintieron, leer las cosas que firmáis. Atención al cliente mantiene muchas colas, pero es lo que tiene un número gratuito. Que llama cualquiera para cualquier tontería, y las cosas urgentes entran en cola.",5.0
Opinión sobre BBVA,Son de lo peor. Humanidad CERO. Huyan de esta cueva. Tengan cuidado.,1.0
Opinión sobre BBVA,"Me han cobrado Comisión cuando me dijeron que era gratuita, la daré de baja.",1.0
Opinión sobre Tarjeta Después,"Siempre buscan como poder contarte comisiones abusivas, ya tuve que hacer una reclamación a principios de año y ahora me acaban de **** más de 200 € de mi cuenta sin previo aviso se han inventado una nueva comisión de gasto por cada compra que hago con la Visa cuando ya pagó una cuota anual es de vergüenza, cómo están sin blanca por las moratorias pretenden robarnos a los pocos que tenemos algo de dinero en la cuenta, reclamen al banco d españa si hace falta no permitais que os roben",4.0
Opinión sobre Cuenta Online Sin Comisiones,No me dejan hacer una cuenta online,5.0
Opinión sobre BBVA,"Buenos días , mi opinión es que no tienen trato ninguno con el cliente , es difícil que te atiendan , siempre con cita previa o con unas horas muy restringidas, comisiones abusivas por si a alguien le interesa , sino tienes nomina o pensión , 50 euros cada 6 meses y 0,60 cts. por movimiento , lo que a mi me ha supuesto una comisión de 179 euros, lo reclamas y no te dan respuesta, me parece totalmente injusto , cuando ahora todo el trabajo lo hacemos nosotros online , porque si no, te cobran por",1.0
Opinión sobre BBVA,Vaya **** de entidad.Te dejan tirao a las primeras se cambio .,1.0
Opinión sobre BBVA,la utilizo con su financiacion sin pagar intereses solo la comision fija para gastos como los vuelos de vacaciones o la vuelta al cole y la verdad que muy muy bien,1.0
Opinión sobre BBVA,Me la abrí como cuenta para gastos sociales y compra y así diversificar el dinero y muy contento. La app va bien y cero gastos,1.0
